vault,lending_platform_address,first_seen_borrow,first_seen_supply,listing_hint,project,version,first_seen_block,min_attack_block,status,error
0x356b8d89c1e1239cbbb9de4815c39a1474d5ba7d,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,,2025-12-03 03:32:35.000 UTC,share appears only on supply side here,aave,3,23930264,23880264,VULNERABLE,
0x57f5e098cad7a3d1eed53991d4d66c45c9af7812,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840,,2024-12-06 15:13:23.000 UTC,share appears only on supply side here,compound,3,21344276,21294276,VULNERABLE,
0x57f5e098cad7a3d1eed53991d4d66c45c9af7812,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,2024-08-27 10:30:35.000 UTC,2024-08-27 10:30:35.000 UTC,share appears borrowable here,morpho,1,20619334,20569334,VULNERABLE,
0x5c5b196abe0d54485975d1ec29617d42d9198326,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840,,2025-07-16 21:52:11.000 UTC,share appears only on supply side here,compound,3,22934558,22884558,VULNERABLE,
0x5c5b196abe0d54485975d1ec29617d42d9198326,0xc3d688b66703497daa19211eedff47f25384cdc3,,2025-07-23 12:13:35.000 UTC,share appears only on supply side here,compound,3,22981798,22931798,VULNERABLE,
0x7751e2f4b8ae93ef6b79d86419d42fe3295a4559,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,2024-10-07 09:27:59.000 UTC,2024-10-07 09:27:59.000 UTC,share appears borrowable here,morpho,1,20912784,20894195,VULNERABLE,
0x83f20f44975d03b1b09e64809b757c47f942beea,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,,2024-01-01 05:54:35.000 UTC,share appears only on supply side here,aave,3,18910644,,NOT_VULNERABLE,
0x83f20f44975d03b1b09e64809b757c47f942beea,0xa950974f64aa33f27f6c5e017eee93bf7588ed07,2024-01-12 06:39:23.000 UTC,2024-01-01 10:52:59.000 UTC,share appears borrowable here,radiant,1,18912114,,NOT_VULNERABLE,
0x83f20f44975d03b1b09e64809b757c47f942beea,0xc13e21b648a5ee794902342038ff3adab66be987,,2024-01-01 23:07:11.000 UTC,share appears only on supply side here,spark,1,18915741,,NOT_VULNERABLE,
0x83f20f44975d03b1b09e64809b757c47f942beea,0x2409af0251dcb89ee3dee572629291f9b087c668,2024-03-11 12:57:23.000 UTC,2024-03-11 11:52:47.000 UTC,share appears borrowable here,uwulend,1,19411679,,NOT_VULNERABLE,
0x90d2af7d622ca3141efa4d8f1f24d86e5974cc8f,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,,2025-05-27 18:51:11.000 UTC,share appears only on supply side here,aave,3,22576026,22526026,VULNERABLE,
0x9d39a5de30e57443bff2a8307a4256c8797a3497,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,,2024-06-27 17:51:47.000 UTC,share appears only on supply side here,aave,3,20184634,20134634,VULNERABLE,
0x9d39a5de30e57443bff2a8307a4256c8797a3497,0x4e033931ad43597d96d6bcc25c280717730b58b1,,2024-11-18 11:25:23.000 UTC,share appears only on supply side here,aave_lido,3,21214289,21164289,VULNERABLE,
0x9d39a5de30e57443bff2a8307a4256c8797a3497,0xa950974f64aa33f27f6c5e017eee93bf7588ed07,,2025-06-30 15:10:59.000 UTC,share appears only on supply side here,radiant,1,22818045,22768045,VULNERABLE,
0x9d39a5de30e57443bff2a8307a4256c8797a3497,0x2409af0251dcb89ee3dee572629291f9b087c668,2024-04-16 10:35:47.000 UTC,2024-04-16 10:21:11.000 UTC,share appears borrowable here,uwulend,1,19667415,19617415,VULNERABLE,
0xa3931d71877c0e7a3148cb7eb4463524fec27fbd,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,2025-03-05 05:58:35.000 UTC,2025-03-05 05:53:23.000 UTC,share appears borrowable here,morpho,1,21978723,,NOT_VULNERABLE,
0xa3931d71877c0e7a3148cb7eb4463524fec27fbd,0xc13e21b648a5ee794902342038ff3adab66be987,,2024-10-21 14:00:23.000 UTC,share appears only on supply side here,spark,1,21014413,,NOT_VULNERABLE,
0xa663b02cf0a4b149d2ad41910cb81e23e1c41c32,0x3afdc9bca9213a35503b077a6072f3d0d5ab0840,,2024-11-19 21:01:35.000 UTC,share appears only on supply side here,compound,3,21224336,,NOT_VULNERABLE,
0xce22b5fb17ccbc0c5d87dc2e0df47dd71e3adc0a,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,,2025-07-04 08:37:59.000 UTC,share appears only on supply side here,morpho,1,22844709,,NOT_VULNERABLE,
0xd11c452fc99cf405034ee446803b6f6c1f6d5ed8,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,,2025-08-16 14:57:11.000 UTC,share appears only on supply side here,aave,3,23154341,23104341,VULNERABLE,
0xd11c452fc99cf405034ee446803b6f6c1f6d5ed8,0x4e033931ad43597d96d6bcc25c280717730b58b1,,2025-06-28 10:09:35.000 UTC,share appears only on supply side here,aave_lido,3,22802246,22752246,VULNERABLE,
0xd11c452fc99cf405034ee446803b6f6c1f6d5ed8,0xa17581a9e3356d9a858b789d68b4d866e593ae94,,2025-03-22 07:46:35.000 UTC,share appears only on supply side here,compound,3,22101020,22051020,VULNERABLE,
0xd9a442856c234a39a81a089c06451ebaa4306a72,0xa17581a9e3356d9a858b789d68b4d866e593ae94,,2025-10-11 04:22:35.000 UTC,share appears only on supply side here,compound,3,23552069,23502069,VULNERABLE,
